,Dzielnica,Cena,Ulica,Powierzchnia
109,Zwierzyniec,2 469 810,Borowego,"117,6"
110,Zwierzyniec,899 000,Emaus,"46,3"
111,Zwierzyniec,2 199 000,Emaus,"105,6"
112,Krowodrza,1 560 437,Zbożowa,"85,4"
113,Krowodrza,1 695 984,Zbożowa,"88,4"
114,Krowodrza,614 848,Cieszyńska,"29,6"
115,Krowodrza,2 034 330,Cieszyńska,"94,6"
116,Zwierzyniec,1 426 140,Tadeusza Kościuszki,"75,1"
117,Zwierzyniec,1 426 140,Tadeusza Kościuszki,"75,1"
118,Krowodrza,676 284,Cieszyńska,"34,4"
119,Krowodrza,1 137 402,Cieszyńska,"60,2"
120,Bronowice,912 982,Juliusza Lea,"50,2"
121,Bronowice,2 387 710,Zarzecze,"116,8"
122,Zwierzyniec,947 115,Tadeusza Kościuszki 47,"48,6"
123,Zwierzyniec,2 161 395,Tadeusza Kościuszki 47,"100,8"
124,Zwierzyniec,2 588 670,Tadeusza Kościuszki 60,"123,3"
125,Zwierzyniec,2 588 670,Tadeusza Kościuszki 60,"123,3"
126,Bronowice,1 470 000,Złoty Róg 54,"58,0"
127,Bronowice,3 170 000,Złoty Róg 54,"147,0"
128,Zwierzyniec,699 000,Tadeusza Kościuszki,"30,1"
129,Zwierzyniec,1 649 000,Tadeusza Kościuszki,"65,9"
130,Krowodrza,2 229 546,Kujawska 11A,"89,4"
131,Krowodrza,2 235 750,Kujawska 11A,"89,5"
132,Wzgórza Krzesławickie,360 183,Morcinka,"33,8"
133,Wzgórza Krzesławickie,961 425,Morcinka,"102,8"
134,Mistrzejowice,358 560,Powstańców 84,"26,6"
135,Mistrzejowice,882 507,Powstańców 84,"79,0"
136,Mistrzejowice,563 165,Piasta Kołodzieja,"34,6"
137,Mistrzejowice,1 319 186,Piasta Kołodzieja,"108,1"
138,Wzgórza Krzesławickie,533 046,Niebyła 31-763,"73,0"
139,Wzgórza Krzesławickie,533 046,Niebyła 31-763,"73,0"
140,Wzgórza Krzesławickie,431 776,Kantorowicka,"47,6"
141,Wzgórza Krzesławickie,562 680,Kantorowicka,"62,5"
142,Wzgórza Krzesławickie,478 616,Morcinka 5A,"48,6"
