,Dzielnica,Cena,Ulica,Powierzchnia,Cena_za_m2,lat,lon
316,Stare Miasto,1351827,Prandoty,94.5,14305.05,50.0784899,19.9494039
317,Grzegórzki,1003120,Grzegórzecka 77,59.0,17002.03,50.0570769,19.9650199
318,Grzegórzki,1180271,Grzegórzecka 77,77.7,15190.1,50.0570769,19.9650199
319,Grzegórzki,698402,Grzegórzecka 77,37.1,18824.85,50.0570769,19.9650199
320,Grzegórzki,1021245,Grzegórzecka 77,63.2,16158.94,50.0570769,19.9650199
321,Grzegórzki,1110558,Grzegórzecka 77,65.3,17007.01,50.0570769,19.9650199
322,Grzegórzki,1909350,Grzegórzecka 77,112.3,17002.23,50.0570769,19.9650199
323,Prądnik Czerwony,520876,Ostatnia,30.6,17022.09,50.0703256,19.9765923
324,Prądnik Czerwony,520876,Ostatnia,30.6,17022.09,50.0703256,19.9765923
325,Prądnik Czerwony,774900,al. Jana Pawła II 52 31-571,47.3,16382.66,50.0716508,19.9838486
326,Prądnik Czerwony,1791270, al. Jana Pawła II 52 31-571,91.9,19491.51,50.0716508,19.9838486
327,Grzegórzki,932950,Masarska 6,51.4,18150.78,50.0553484,19.9549624
328,Grzegórzki,1679645,Masarska 6,81.0,20736.36,50.0553484,19.9549624
329,Stare Miasto,487290,Długa 82,25.6,19034.77,50.0727757,19.9350225
330,Stare Miasto,1276800,Długa 82,73.0,17490.41,50.0727757,19.9350225
331,Stare Miasto,683060,Rakowicka,33.3,20512.31,50.0669171,19.9520288
332,Stare Miasto,1464710,Rakowicka,77.1,18997.54,50.0669171,19.9520288
333,Grzegórzki,696388,Prochowa,33.3,20912.55,50.0562222,19.9563675
334,Grzegórzki,1780000,Chodkiewicza,84.5,21065.09,50.0560477,19.9536913
335,Prądnik Czerwony,587911,Mogilska,27.3,21535.2,50.0681263,19.9784677
336,Prądnik Czerwony,2449051,Mogilska,134.4,18222.11,50.0681263,19.9784677
337,Grzegórzki,806990,Grzegórzecka,47.5,16989.26,50.0571549,19.9595837
338,Grzegórzki,5522660,Grzegórzecka,212.4,26001.22,50.0571549,19.9595837
339,Stare Miasto,816884,Krowoderska,38.2,21384.4,50.0720308,19.9324319
340,Stare Miasto,1290060,Krowoderska,55.7,23160.86,50.0720308,19.9324319
341,Stare Miasto,1650000,Plac Kossaka,76.2,21653.54,50.0561994,19.9284136
342,Stare Miasto,1650000,Plac Kossaka,76.2,21653.54,50.0561994,19.9284136
343,Prądnik Czerwony,704935,Mogilska,28.7,24562.2,50.0681263,19.9784677
344,Prądnik Czerwony,1607908,Mogilska,72.1,22301.08,50.0681263,19.9784677
345,Grzegórzki,927740,Żółkiewskiego,42.2,21984.36,50.0604723,19.9593578
346,Grzegórzki,2660020,Żółkiewskiego,120.9,22001.82,50.0604723,19.9593578
347,Stare Miasto,998597,Smoleńsk 33,40.5,24656.72,50.058502450000006,19.926919913470424
348,Stare Miasto,5791622,Smoleńsk 33,177.9,32555.49,50.058502450000006,19.926919913470424
349,Stare Miasto,631375,Świętego Sebastiana 18,24.5,25770.41,50.0555706,19.9431804
350,Stare Miasto,3200000,Świętego Sebastiana 18,116.7,27420.74,50.0555706,19.9431804
351,Stare Miasto,789880,Długa 24,30.4,25982.89,50.0679951,19.938312990811166
352,Stare Miasto,2586330,Długa 24,83.4,31011.15,50.0679951,19.938312990811166
353,Stare Miasto,914589,Librowszczyzna 3,33.9,26979.03,50.0588428,19.9458004
354,Stare Miasto,4259450,Bonerowska 1,131.1,32490.08,50.0590066,19.9460718
355,Stare Miasto,900484,Dolnych Młynów 10,25.5,35313.1,50.0645731,19.9274859
356,Stare Miasto,2598280,Dolnych Młynów 10,76.4,34008.9,50.0645731,19.9274859
357,Nowa Huta,371400,Edwarda Szymańskiego Branice,30.95,12000.0,50.068729,20.1464582
358,Nowa Huta,580710,Edwarda Szymańskiego Branice,44.67,13000.0,50.068729,20.1464582
359,Swoszowice,929000,Opatkowicka,107.0,8682.24,49.9836953,19.9160164
360,Swoszowice,1149000,Opatkowicka,109.92,10453.06,49.9836953,19.9160164
