,Dzielnica,Cena,Ulica,Powierzchnia,Cena_za_m2,lat,lon
73,Bronowice,940000,Wizjonerów,69.4,13544.67,50.0849209,19.8909484
74,Zwierzyniec,1221372,Podłużna,94.6,12910.91,50.0680861,19.8465818
75,Zwierzyniec,2383731,Podłużna,151.8,15703.1,50.0680861,19.8465818
76,Zwierzyniec,1556575,Królowej Jadwigi 307,107.4,14493.25,50.0709735,19.8603277
77,Zwierzyniec,1556575,Królowej Jadwigi 307,107.4,14493.25,50.0709735,19.8603277
78,Prądnik Biały,515080,Piaskowa,31.6,16300.0,50.0955487,19.8983779
79,Prądnik Biały,793440,Piaskowa,55.1,14400.0,50.0955487,19.8983779
80,Bronowice,690000,Wizjonerów,42.1,16389.55,50.0849209,19.8909484
81,Bronowice,1160000,Wizjonerów,83.9,13825.98,50.0849209,19.8909484
82,Prądnik Biały,725000,Prądnicka 31-202,48.0,15104.17,50.0866859,19.9383924
83,Prądnik Biały,1400000,Prądnicka 31-202,83.6,16746.41,50.0866859,19.9383924
84,Zwierzyniec,736319,Chełmska,51.9,14187.26,50.0671869,19.8462439
85,Zwierzyniec,1630886,Chełmska,91.5,17823.89,50.0671869,19.8462439
86,Krowodrza,499000,Składowa,28.1,17758.01,50.0801614,19.9310223
87,Krowodrza,1599000,Składowa,105.2,15199.62,50.0801614,19.9310223
88,Zwierzyniec,1113154,Kasztelańska 22,69.1,16109.32,50.055789950000005,19.91322133695249
89,Zwierzyniec,1113154,Kasztelańska 22,69.1,16109.32,50.055789950000005,19.91322133695249
90,Bronowice,500000,Wizjonerów,27.5,18181.82,50.0849209,19.8909484
91,Bronowice,1330000,Wizjonerów,86.1,15447.15,50.0849209,19.8909484
92,Prądnik Biały,1713690,Banacha,103.9,16493.65,50.1012502,19.96046711117409
93,Prądnik Biały,1713690,Banacha,103.9,16493.65,50.1012502,19.96046711117409
94,Prądnik Biały,481600,Józefa Wybickiego 5 31-261,27.5,17512.73,50.0829342,19.9306639
95,Prądnik Biały,998510,Józefa Wybickiego 5 31-261,64.4,15504.81,50.0829342,19.9306639
96,Krowodrza,591162,Juliusza Lea,35.0,16890.34,50.0724499,19.8964949
97,Krowodrza,2124250,Juliusza Lea,88.8,23921.73,50.0724499,19.8964949
98,Zwierzyniec,893900,Wiosenna,52.0,17190.38,50.0683302,19.8500249
99,Zwierzyniec,1514000,Wiosenna,90.1,16803.55,50.0683302,19.8500249
100,Bronowice,555718,Na Błonie,25.4,21878.66,50.080968,19.8824902
101,Bronowice,1970360,Na Błonie,102.3,19260.61,50.080968,19.8824902
102,Krowodrza,936904,Przybyszewskiego,56.4,16611.77,50.06856285,19.89312566859228
103,Krowodrza,2103808,Przybyszewskiego,101.7,20686.41,50.06856285,19.89312566859228
104,Zwierzyniec,2272300,Podłącze,126.2,18005.55,50.0678151,19.8780188
